type	px	py	v	yaw_angle	yaw_rate	vx	vy	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
R	4.37083	-10.763	-2.76906	-1.40142	-0.899659	-0.466761	2.72944	4.44745	-10.786	4.45	-10.8	0	2.72555	0.100068
L	4.37455	-10.6107	-2.76222	-1.46758	-0.916966	-0.284607	2.74752	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.454941
R	4.3723	-10.4629	-2.75491	-1.52442	-0.925157	-0.127712	2.75195	4.46329	-10.5756	4.45	-10.5	0	2.729	0.323625
L	4.386	-10.3118	-2.75108	-1.58629	-0.936514	0.0426269	2.75075	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.204072
R	4.41065	-10.1625	-2.74303	-1.65278	-0.95486	0.224628	2.73381	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.491175
L	4.45635	-10.012	-2.73986	-1.72508	-0.974556	0.42105	2.70731	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.548764
R	4.48845	-9.86662	-2.7381	-1.78077	-0.976041	0.57072	2.67796	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.361345
L	4.55028	-9.72117	-2.73697	-1.85221	-0.993271	0.760103	2.62931	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.477769
R	4.56419	-9.57105	-2.74581	-1.87407	-0.949565	0.820032	2.6205	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.73065
L	4.64267	-9.43025	-2.74646	-1.94591	-0.967868	1.00625	2.55549	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.653764
R	4.71813	-9.29541	-2.74498	-2.0124	-0.982875	1.17319	2.48164	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.514703
L	4.82092	-9.15739	-2.75418	-2.08829	-1.00132	1.36251	2.39354	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.938927
R	4.90305	-9.03891	-2.75738	-2.14879	-1.01392	1.50647	2.30948	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.186222
L	4.99281	-8.9286	-2.758	-2.20698	-1.02056	1.6386	2.21846	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.151889
R	5.06427	-8.8042	-2.75303	-2.23501	-0.980874	1.69707	2.16774	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.55491
L	5.1798	-8.68197	-2.76439	-2.29841	-0.986772	1.83857	2.06434	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.53563
R	5.27844	-8.58091	-2.76628	-2.34976	-0.987817	1.94343	1.9686	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.116443
L	5.38904	-8.47834	-2.77615	-2.403	-0.988918	2.05274	1.86903	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.318017
R	5.47841	-8.36758	-2.76587	-2.42295	-0.939948	2.08187	1.82096	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.06898
L	5.5861	-8.26619	-2.76432	-2.4688	-0.935215	2.16193	1.72265	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.146805
R	5.66481	-8.14515	-2.75122	-2.46382	-0.856751	2.14313	1.72518	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.62009
L	5.79337	-8.0402	-2.76487	-2.50961	-0.852545	2.23086	1.63332	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.532858
R	5.88877	-7.92797	-2.75511	-2.5131	-0.790507	2.22864	1.6198	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.03598
L	6.01842	-7.82642	-2.76815	-2.55225	-0.784038	2.30118	1.53858	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.51442
R	6.11232	-7.71258	-2.75441	-2.54306	-0.708779	2.27559	1.55192	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.49793
L	6.24032	-7.61649	-2.76333	-2.57663	-0.702376	2.33394	1.47944	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.293649
R	6.34352	-7.51009	-2.75178	-2.57177	-0.638749	2.31699	1.48453	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	3.32336
L	6.46847	-7.4198	-2.75562	-2.60059	-0.632634	2.3621	1.41913	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.179568
R	6.58192	-7.3382	-2.75822	-2.62367	-0.623607	2.39648	1.36553	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.809926
L	6.70852	-7.2517	-2.77343	-2.64707	-0.614447	2.44116	1.31631	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.702165
R	6.78768	-7.1179	-2.74461	-2.58876	-0.481009	2.33577	1.44119	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	15.2294
